	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
0	001	Autauga County, Alabama	01	3699	55221	1521	20396	01	001
1	003	Baldwin County, Alabama	01	11010	195121	5769	74104	01	003
2	005	Barbour County, Alabama	01	3222	26932	1378	9222	01	005
3	007	Bibb County, Alabama	01	1773	22604	696	7027	01	007
4	009	Blount County, Alabama	01	5170	57710	2239	20816	01	009
5	011	Bullock County, Alabama	01	718	10678	336	3683	01	011
6	013	Butler County, Alabama	01	2309	20354	1155	8056	01	013
7	015	Calhoun County, Alabama	01	8848	116648	3971	45154	01	015
8	017	Chambers County, Alabama	01	2744	34079	1382	13787	01	017
9	019	Cherokee County, Alabama	01	2411	26008	1215	11278	01	019
10	021	Chilton County, Alabama	01	3209	43819	1382	16237	01	021
11	023	Choctaw County, Alabama	01	1694	13395	886	5575	01	023
12	025	Clarke County, Alabama	01	2232	25070	1211	9622	01	025
13	027	Clay County, Alabama	01	1113	13537	559	5419	01	027
14	029	Cleburne County, Alabama	01	1540	15002	697	5776	01	029
15	031	Coffee County, Alabama	01	7477	50884	3491	19160	01	031
16	033	Colbert County, Alabama	01	4341	54444	2110	22204	01	033
17	035	Conecuh County, Alabama	01	1207	12865	676	5168	01	035
18	037	Coosa County, Alabama	01	980	11027	575	4450	01	037
19	039	Covington County, Alabama	01	4672	37886	2331	14949	01	039
20	041	Crenshaw County, Alabama	01	1908	13938	972	5383	01	041
21	043	Cullman County, Alabama	01	6705	80965	3070	31287	01	043
22	045	Dale County, Alabama	01	5067	49866	2413	19018	01	045
23	047	Dallas County, Alabama	01	3387	42154	1657	16413	01	047
24	049	DeKalb County, Alabama	01	6359	71068	2959	25013	01	049
25	051	Elmore County, Alabama	01	6217	80763	2361	28651	01	051
26	053	Escambia County, Alabama	01	3331	37935	1452	13659	01	053
27	055	Etowah County, Alabama	01	8677	103766	3992	39899	01	055
28	057	Fayette County, Alabama	01	1774	16896	825	7037	01	057
29	059	Franklin County, Alabama	01	2433	31634	1129	11980	01	059
30	061	Geneva County, Alabama	01	3370	26815	1589	10754	01	061
31	063	Greene County, Alabama	01	811	8697	516	3201	01	063
32	065	Hale County, Alabama	01	1726	15256	884	5927	01	065
33	067	Henry County, Alabama	01	1734	17252	904	6894	01	067
34	069	Houston County, Alabama	01	27690	103534	13160	39197	01	069
35	071	Jackson County, Alabama	01	5250	52860	2567	20431	01	071
36	073	Jefferson County, Alabama	01	47969	659026	21812	260929	01	073
37	075	Lamar County, Alabama	01	1585	14133	776	6138	01	075
38	077	Lauderdale County, Alabama	01	7214	92737	3409	38612	01	077
39	079	Lawrence County, Alabama	01	3061	33586	1378	13537	01	079
40	081	Lee County, Alabama	01	9295	150982	3731	57171	01	081
41	083	Limestone County, Alabama	01	6189	88805	2460	32213	01	083
42	085	Lowndes County, Alabama	01	1509	10742	730	4282	01	085
43	087	Macon County, Alabama	01	2743	20018	1267	8009	01	087
44	089	Madison County, Alabama	01	24763	346438	10869	137767	01	089
45	091	Marengo County, Alabama	01	2059	20306	1029	8281	01	091
46	093	Marion County, Alabama	01	2791	30387	1285	12714	01	093
