STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	1	1	1	57513	54912	3	3	100	153	1667	2	38	31	82	397	1149	121	4
9999	1	4	2	1	3	193322	193322	14	14	99.8625	425	4832	1	48	67	309	932	3697	203	9
9999	1	4	3	1	5	27139	26868	6	5	94.1392	109	674	1	6	15	88	213	425	36	0
9999	1	4	4	1	7	22557	22503	5	6	96.7338	26	287	0	1	4	21	98	161	28	0
9999	1	4	5	1	9	57968	57968	6	6	98.6989	121	1319	0	17	0	104	364	842	113	5
9999	1	4	6	1	11	10340	10340	2	2	64.3553	32	128	1	3	4	23	78	50	0	34
9999	1	4	7	1	13	20107	20099	4	4	91.8503	96	491	1	11	7	77	115	357	19	4
9999	1	4	8	1	15	120841	116893	8	10	99.5013	622	4369	8	64	103	447	1366	2814	189	20
9999	1	4	9	1	17	34035	34035	4	4	100	177	1285	3	18	23	133	386	801	98	6
9999	1	4	10	1	19	26006	26027	4	5	100	115	954	1	18	4	92	289	607	58	9
9999	1	4	11	1	21	43745	43848	5	6	99.9021	156	1381	3	27	13	113	341	973	67	3
9999	1	4	12	1	23	13563	12902	4	2	100	13	82	0	0	1	12	34	44	4	0
9999	1	4	13	1	25	24960	24618	5	4	90.554	99	374	0	11	8	80	110	239	24	0
9999	1	4	14	1	27	13287	13287	3	3	92.8746	44	120	0	5	2	36	38	74	7	2
9999	1	4	15	1	29	14785	14785	3	3	97.8278	24	192	0	3	1	19	50	128	14	0
9999	1	4	16	1	31	52111	51618	5	5	99.912	171	1149	2	17	34	118	286	794	68	11
9999	1	4	17	1	33	54418	54418	8	7	98.9011	226	1818	2	36	33	155	431	1256	131	4
9999	1	4	18	1	35	12900	12908	4	5	95.3646	74	331	1	9	6	58	91	220	20	3
9999	1	4	19	1	37	10777	8954	3	1	100	13	212	0	2	1	10	82	119	11	1
9999	1	4	20	1	39	38006	37476	9	8	96.6221	117	1133	1	30	8	78	258	813	61	0
9999	1	4	21	1	41	14152	13626	5	3	95.4866	69	237	2	10	4	53	93	122	22	2
9999	1	4	22	1	43	80382	80409	3	4	100	100	1664	5	40	9	46	448	1117	99	7
9999	1	4	23	1	45	48752	49708	10	11	98.7626	179	1413	1	36	21	121	295	1043	75	1
9999	1	4	24	1	47	42552	42552	3	2	100	305	2139	5	25	48	227	645	1363	131	37
9999	1	4	25	1	49	71074	71053	14	14	86.5718	225	1709	2	40	11	172	543	1035	130	9
9999	1	4	26	1	51	80942	80973	7	7	99.4924	253	2252	1	64	34	154	584	1593	75	3
9999	1	4	27	1	53	37887	37887	5	5	91.8191	156	728	2	18	16	120	154	527	46	7
9999	1	4	28	1	55	103430	97233	10	8	99.6416	576	4157	8	80	112	376	1274	2601	282	19
9999	1	4	29	1	57	16144	16901	3	4	95.0121	22	187	0	2	3	17	46	124	17	1
9999	1	4	30	1	59	31766	31766	5	5	96.8703	103	696	3	19	9	71	202	462	32	26
9999	1	4	31	1	61	26957	26964	5	6	100	85	678	2	13	6	64	188	449	41	2
9999	1	4	32	1	63	8833	8204	3	2	100	81	169	1	3	7	70	51	102	16	3
9999	1	4	33	1	65	16028	12862	3	2	100	41	183	0	3	1	37	60	104	19	3
9999	1	4	34	1	67	17275	16756	4	4	100	45	300	3	6	5	31	125	160	15	2
9999	1	4	35	1	69	105157	103920	9	9	97.6859	456	3263	4	43	92	317	812	2277	173	16
9999	1	4	36	1	71	52959	51451	9	7	93.8024	193	1266	1	39	6	146	364	816	86	6
9999	1	4	37	1	73	686200	638502	32	30	98.3244	4760	29920	83	324	1543	2810	8424	19247	2249	71
9999	1	4	38	1	75	14174	14174	4	4	53.4223	8	124	0	0	2	6	27	89	9	0
9999	1	4	39	1	77	92462	92462	8	8	72.7235	289	2459	3	34	60	192	492	1812	154	9
9999	1	4	40	1	79	33676	33054	7	5	97.7814	81	607	2	12	7	60	200	369	38	3
9999	1	4	41	1	81	144715	91016	3	4	100	308	3743	6	22	78	202	745	2840	158	2
9999	1	4	42	1	83	83497	89170	3	6	100	128	1763	0	17	22	89	422	1263	78	0
9999	1	4	43	1	85	10726	8920	6	3	87.6756	42	265	2	6	2	32	109	125	31	1
9999	1	4	44	1	87	20288	19750	5	4	100	126	1009	2	11	20	93	321	619	69	5
9999	1	4	45	1	89	350914	345330	11	10	99.9759	1973	12818	27	170	444	1332	2768	9130	920	45
9999	1	4	46	1	91	20219	19846	7	5	98.6563	104	546	2	7	7	88	146	379	21	3
9999	1	4	47	1	93	30876	30167	8	9	99.8409	85	528	1	4	5	75	143	346	38	1
9999	1	4	48	1	95	96422	86692	8	7	79.9574	163	2754	0	18	25	119	778	1797	179	2
9999	1	4	49	1	97	414070	414070	13	13	99.5206	2426	18685	40	169	658	1559	4953	12504	1228	102
9999	1	4	50	1	99	22474	22178	5	4	94.5983	101	633	3	6	7	85	146	450	37	2
9999	1	4	51	1	101	230228	230228	13	6	100	845	8446	3	38	324	480	1916	5646	885	71
9999	1	4	52	1	103	120724	120635	8	8	87.3907	216	3359	5	25	32	155	845	2314	201	9
9999	1	4	53	1	105	10068	3544	3	1	0	17	155	0	2	4	12	36	111	8	0
9999	1	4	54	1	107	19307	18713	7	6	86.2092	41	173	2	2	5	32	73	88	12	0
9999	1	4	55	1	109	33246	33246	4	4	98.9608	158	1111	4	20	22	112	269	778	63	4
9999	1	4	56	1	111	22598	22598	6	4	92.3068	44	449	1	3	6	33	149	287	13	0
9999	1	4	57	1	113	64097	58835	3	2	100	239	2478	7	30	41	161	736	1472	270	0
9999	1	4	58	1	115	83330	85189	11	12	59.4561	238	1919	3	25	30	180	504	1294	121	18
9999	1	4	59	1	117	179235	200233	10	12	67.7196	342	4095	2	71	55	215	784	3065	246	10
9999	1	4	60	1	119	13320	12806	6	4	100	60	275	2	4	6	48	86	175	14	0
9999	1	4	61	1	121	77514	81654	6	7	98.959	310	3487	5	36	49	220	1173	2130	184	6
9999	1	4	62	1	123	39360	40833	7	7	97.8935	218	1135	5	47	14	152	275	808	52	2
9999	1	4	63	1	125	198969	199771	7	9	100	798	7325	14	73	225	486	1858	5144	323	13
9999	1	4	64	1	127	65959	64969	10	8	98.9341	259	2263	1	29	40	189	564	1546	153	4
9999	1	4	65	1	129	16945	16945	4	4	95.9019	49	207	0	3	0	46	68	126	13	6
9999	1	4	66	1	131	11381	11381	3	3	91.2793	35	114	2	3	3	27	31	75	8	1
9999	1	4	67	1	133	24058	24010	6	6	80.4998	58	451	2	8	5	43	157	267	27	3
9999	1	4	68	1	777	0	0	1	1	100	6	298	0	0	6	0	48	238	12	0
9999	1	4	69	2	13	972	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	70	2	16	4340	4340	1	1	100	15	74	0	2	0	13	3	66	5	1
9999	1	4	71	2	20	299455	299455	3	3	100	2435	12257	14	408	522	1491	1321	10057	879	74
9999	1	4	72	2	50	6463	6463	1	1	100	56	149	0	10	2	44	26	78	45	17
9999	1	4	73	2	60	985	985	1	1	100	1	9	1	0	0	0	0	3	6	0
9999	1	4	74	2	70	3299	2438	2	1	100	47	42	0	16	1	30	2	28	12	0
9999	1	4	75	2	90	34741	34741	4	4	100	237	1429	0	35	41	161	125	1190	114	6
9999	1	4	76	2	100	2561	2561	1	1	100	7	62	0	0	0	7	12	48	2	0
9999	1	4	77	2	110	32946	32946	1	1	100	134	1063	0	18	15	101	101	926	36	10
9999	1	4	78	2	122	20162	19898	5	4	100	118	808	0	11	5	102	83	684	41	1
9999	1	4	79	2	130	8305	8305	1	1	100	32	278	0	4	1	27	16	256	6	0
9999	1	4	80	2	150	6564	6564	1	1	100	87	290	0	1	4	82	36	235	19	2
9999	1	4	81	2	164	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	82	2	170	15098	15098	2	2	100	62	790	1	11	6	44	77	665	48	3
9999	1	4	83	2	180	3805	3805	1	1	100	34	56	0	4	1	29	10	40	6	0
9999	1	4	84	2	185	9674	9674	1	1	100	79	121	0	9	1	69	34	72	15	2
9999	1	4	85	2	188	3375	3375	1	1	100	85	168	0	24	3	58	25	110	33	3
9999	1	4	86	2	201	2046	1263	2	1	100	27	26	0	0	0	27	4	21	1	1
9999	1	4	87	2	220	9093	9093	1	1	100	7	207	0	0	0	7	21	174	12	1
9999	1	4	88	2	232	1703	956	2	1	100	3	10	0	0	0	3	1	9	0	0
9999	1	4	89	2	240	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	90	2	261	6525	6305	3	2	100	25	132	0	0	0	25	11	115	6	0
9999	1	4	91	2	270	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	92	2	280	5950	5395	3	2	100	12	111	0	0	0	12	22	85	4	0
9999	1	4	93	2	282	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	94	2	290	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	95	2	777	0	0	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	4	96	2	999	257070	257070	1	1	100	1179	3001	18	367	21	773	972	1633	396	33
9999	1	4	97	4	1	73986	73986	4	4	100	96	500	0	7	4	85	178	297	25	37
9999	1	4	98	4	3	132742	67442	8	5	99.3727	328	1325	3	15	15	295	183	1069	73	2
9999	1	4	99	4	5	134179	136999	6	7	100	451	4170	3	57	54	337	473	3595	102	70
9999	1	4	100	4	7	53212	52216	5	4	100	216	1460	2	7	12	195	357	1038	65	22
9999	1	4	101	4	9	37750	28279	4	3	100	101	372	0	1	0	100	92	258	22	1
9999	1	4	102	4	11	8994	8994	2	2	94.9086	54	199	0	0	0	54	59	126	14	0
9999	1	4	103	4	12	20296	17285	3	2	100	69	479	0	0	4	65	122	325	32	1
9999	1	4	104	4	13	3997329	3997629	18	19	99.8355	16228	131034	194	1206	4907	9922	30030	90128	10877	744
9999	1	4	105	4	15	205099	200268	5	4	100	424	6731	9	33	68	314	1833	4502	396	48
9999	1	4	106	4	17	107325	107325	6	6	100	378	2132	1	13	25	339	565	1478	89	11
9999	1	4	107	4	19	999664	999664	9	9	99.6541	4315	48241	71	331	1221	2692	7496	37734	3011	236
9999	1	4	108	4	21	389659	386454	11	10	100	734	8817	16	65	114	539	1951	6570	295	88
9999	1	4	109	4	23	47455	46552	3	2	100	41	725	0	0	6	35	172	461	92	0
9999	1	4	110	4	25	217056	214243	10	11	100	516	4191	2	52	30	432	880	3077	234	26
9999	1	4	111	4	27	201878	198958	6	4	100	814	5361	12	69	73	660	1574	3405	382	35
9999	1	4	112	4	777	0	0	23	23	100	1699	6030	38	442	100	1119	1924	3010	1096	422
9999	1	4	113	5	1	18866	18866	3	3	100	80	732	3	4	12	61	296	390	46	8
9999	1	4	114	5	3	21433	21433	3	3	100	63	590	0	8	2	53	245	325	20	5
9999	1	4	115	5	5	40897	40897	5	5	100	46	1182	1	27	0	18	218	927	37	1
9999	1	4	116	5	7	229120	235568	15	15	99.5226	519	4132	1	108	22	388	936	3086	110	18
9999	1	4	117	5	9	37474	37474	2	2	100	128	1030	1	31	2	94	239	741	50	5
9999	1	4	118	5	11	11369	11369	2	2	100	31	153	0	3	6	22	89	55	9	0
9999	1	4	119	5	13	5303	5303	2	2	100	9	51	0	1	1	7	17	29	5	0
9999	1	4	120	5	15	27641	27641	4	4	95.6209	46	717	0	9	1	36	150	535	32	0
9999	1	4	121	5	17	11322	11322	4	4	100	47	335	1	0	3	43	127	198	10	4
9999	1	4	122	5	19	22938	22938	5	5	100	63	580	2	8	4	49	166	398	16	2
