AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
CAW00064757           0Q     0Q     0Q -7777Q    11Q    60Q   126Q    87Q    20Q     2Q -7777Q     0Q
CQC00914080         381R   316R   355P   405R   463R   454R   453R   453R   432R   443R   424R   395R
CQC00914801         428R   371R   434R   453R   498R   501R   498R   488R   473R   490R   468R   465R
FMC00914395         467P   427P   474P   464P   484P   467P   479P   485P   468P   485P   462P   465P
FMC00914419         518P   468P   521P   504P   525P   507P   519P   521P   511P   525P   514P   524P
FMC00914446         511P   459P   522P   537P   563P   523P   510P   498P   492P   519P   517P   527P
FMC00914482         439P   393P   446P   434P   450P   429P   431P   453P   426P   442P   428P   437P
FMC00914720         513P   482P   527P   507P   533P   513P   518P   522P   505P   524P   498P   525P
FMC00914761         512P   463P   525P   500P   519P   498P   512P   504P   494P   519P   510P   519P
FMC00914831         470P   421P   490P   493P   521P   484P   490P   488P   471P   498P   486P   485P
FMC00914892         533P   477P   541P   549P   572P   538P   542P   542P   538P   569P   555P   550P
FMC00914898         499P   466P   511P   484P   513P   488P   510P   508P   495P   518P   501P   504P
FMC00914911         511P   452P   499P   501P   515P   488P   504P   498P   485P   510P   498P   515P
FMW00040308         533S   480S   546S   550S   580S   538S   544S   538S   526S   553S   537S   547S
FMW00040504         485C   445C   501S   485S   502S   481S   490S   494S   476S   491S   477S   488S
FMW00040505         502S   456S   516S   504S   530S   503S   512S   505P   493P   512P   504S   515S
GQC00914025         443P   393P   457P   479P   524P   514P   502P   496P   486P   505P   478P   471P
GQW00041415         471C   419C   487C   507C   544C   529C   522C   508C   493S   516S   505C   502C
JQW00021603         412P   375P   422P   433P   485P   517P   558P   577P   552P   542P   470P   437P
PSC00914519         434P   395P   446P   463P   484P   451P   459P   465P   457P   462P   454P   460P
PSC00914712         437P   388P   446P   456P   471P   426P   440P   453P   450P   468P   459P   451P
PSW00040309         508S   455S   518S   521S   538S   498S   504S   512S   503S   529S   522S   525S
RMW00040604         518C   473S   536S   525S   550S   524S   536S   541S   527S   544C   519C   527S
RMW00040710         516S   473C   529C   513C   538C   513C   530S   536S   522S   538S   517S   521S
RQC00660061          64R    54S    83S   129R   193R   237R   250S   251S   234R   216S   170S   104R
RQC00660152         355S   323S   367S   400S   471S   492S   519S   532S   494R   485S   433S   386S
RQC00660158          91R    75R   113R   157R   228R   257R   284R   296R   270R   254R   168R   128R
RQC00660410         313R   242R   318R   363R   429R   453R   487R   491R   480R   463R   379R   341R
RQC00660426         225S   199S   251C   282S   346S   381S   403S   406S   388S   372S   310S   253S
RQC00661901         145R   127R   165R   216R   291R   342R   360R   356R   328R   312R   242R   168R
RQC00662336           4R     5R     9R    12R    18R    52R    71S    71S    62R    58R    28R    13R
