,Unnamed: 0_x,COUNTY,NAME,ST,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pop_under18,Pop_over25,Pop_over65,High_school_orless,College_ormore,unemp_rate,Pov_rate,Share_highschool_orless,Share_college_ormore,aqi_good_2013,aqi_bad_2013,aqi_good_2014,aqi_bad_2014,aqi_good_2015,aqi_bad_2015,aqi_good_2016,aqi_bad_2016,aqi_good_2017,aqi_bad_2017,Unnamed: 0,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014,Latitude,Longitude,aqi_good,aqi_bad,crime_rate,Apr_avg_temp,Apr_max_temp,Apr_min_temp,Apr_prcp,Apr_snow,Aug_avg_temp,Aug_max_temp,Aug_min_temp,Aug_prcp,Aug_snow,Dec_avg_temp,Dec_max_temp,Dec_min_temp,Dec_prcp,Dec_snow,Feb_avg_temp,Feb_max_temp,Feb_min_temp,Feb_prcp,Feb_snow,Jan_avg_temp,Jan_max_temp,Jan_min_temp,Jan_prcp,Jan_snow,Jul_avg_temp,Jul_max_temp,Jul_min_temp,Jul_prcp,Jul_snow,Jun_avg_temp,Jun_max_temp,Jun_min_temp,Jun_prcp,Jun_snow,Mar_avg_temp,Mar_max_temp,Mar_min_temp,Mar_prcp,Mar_snow,May_avg_temp,May_max_temp,May_min_temp,May_prcp,May_snow,Nov_avg_temp,Nov_max_temp,Nov_min_temp,Nov_prcp,Nov_snow,Oct_avg_temp,Oct_max_temp,Oct_min_temp,Oct_prcp,Oct_snow,Sep_avg_temp,Sep_max_temp,Sep_min_temp,Sep_prcp,Sep_snow,winter_avg_temp,summer_avg_temp,annual_avg_temp,Region,State_name,Population,Hispanic_Latino,White,Black,Asian,Share_over65,Share_under18,largest_race,airport,dist_airport
0,0,1,"Autauga County, Alabama",1,1521,20396,36319,54793,7057,51281.0,24974,726.0,141300.0,1,1,14044,36319,7478,16838,8437,0.07103803642371083,0.1287938240286168,0.4636140862909221,0.23230265150472204,0.9385245901639344,0.0,0.9142857142857144,0.0,0.9570815450643776,0.0,0.9145299145299144,0.0,0.9523809523809524,0.0,0.0,0.030492386065859155,0.03340992814677025,0.034869240348692404,0.033143939393939385,0.03241173345059455,32.536382,86.64449,0.9353605432849786,0.0,0.03286544548117115,61.4,74.6,48.2,4.69,0.0,78.9,89.7,68.0,3.93,0.0,45.4,56.2,34.6,5.36,0.0,46.9,58.6,35.1,5.6,0.0,43.1,54.0,32.2,5.35,0.1,79.6,90.1,69.0,5.55,0.0,76.4,87.4,65.4,4.93,0.0,54.5,67.3,41.7,5.72,0.5,69.7,81.6,57.8,4.11,0.0,53.4,65.5,41.3,5.34,0.0,62.7,75.2,50.3,3.46,0.0,73.2,84.7,61.7,3.84,0.0,45.13333333333333,78.3,62.1,SOUTHEAST,Alabama,54571,0.024005424126367483,0.772461563834271,0.1758259881622107,0.008557658829781385,0.1370324897839512,0.2573528064356526,White,Maxwell Air Force Base,31.24484466805869
1,1,3,"Baldwin County, Alabama",1,5769,74104,137001,192355,25798,50254.0,27317,698.0,169300.0,1,3,43641,137001,35376,53791,39710,0.072862772726272,0.13411660731460062,0.39263217056809796,0.28985189889124896,0.8608058608058609,0.0,0.8285714285714286,0.0,0.8712121212121212,0.0,0.8853046594982079,0.0,0.8222222222222222,0.0,1.0,0.02494170575809947,0.028764565200773168,0.028986434945883807,0.02719297338119821,0.022959038341024328,30.659218,87.74606700000001,0.8536232584619681,0.0,0.026568943525395794,65.1,76.9,53.4,4.62,0.0,80.9,90.2,71.6,7.05,0.0,51.7,62.8,40.6,4.68,0.1,52.7,64.4,40.9,5.25,0.0,49.5,60.9,38.1,5.63,0.0,81.1,90.4,71.8,8.14,0.0,79.0,88.7,69.3,6.37,0.0,59.0,70.7,47.2,6.03,0.0,73.0,84.0,62.0,4.43,0.0,58.9,70.8,47.1,5.26,0.0,67.4,79.0,55.7,4.14,0.0,76.6,86.6,66.6,5.72,0.0,51.300000000000004,80.33333333333333,66.24166666666666,SOUTHEAST,Alabama,182265,0.043848242942967665,0.8350478698598195,0.09308424546676544,0.0073519326255726564,0.1940910213151181,0.23943708336762407,White,Mobile Downtown Airport,31.07799782504137
2,2,5,"Barbour County, Alabama",1,1378,9222,18808,24024,6421,32964.0,16824,371.0,92200.0,1,5,5738,18808,4325,11511,2354,0.1739172560798372,0.26727439227439226,0.6120267971076138,0.12515950659293915,0.8169014084507042,0.0,0.7676056338028169,0.0,0.5816023738872403,0.0,0.7470817120622568,0.0,0.8421052631578947,0.0,2.0,0.017661343733902417,0.02747471818478379,0.0204177423140108,0.029142474318892362,0.03009461715830484,31.87067,85.405456,0.7510592782721826,0.0,0.024958179141978842,62.1,76.7,47.5,,,78.6,90.6,66.7,,,47.4,60.3,34.4,,,48.9,62.4,35.5,,,44.9,57.8,32.1,,,79.3,91.2,67.5,,,76.9,89.1,64.6,,,55.8,69.9,41.7,,,70.1,83.8,56.4,,,55.6,69.5,41.6,,,64.3,78.0,50.7,,,73.8,86.3,61.4,,,47.06666666666666,78.26666666666667,63.14166666666665,SOUTHEAST,Alabama,27457,0.0505153512765415,0.4675310485486397,0.4669118986050916,0.003897002585861529,0.15751902975561788,0.20898131623993882,White,Dothan Regional Airport,61.05791648718652
3,3,7,"Bibb County, Alabama",1,696,7027,15629,20767,3488,38678.0,18431,416.0,102700.0,1,7,4919,15629,3255,9598,1664,0.08154943934760449,0.16795878075793325,0.6141147866146267,0.1064687440015356,0.9198895027624309,0.0,0.8964285714285715,0.0,0.5406162464985994,0.0,0.6136986301369863,0.0,0.6140350877192983,0.0,3.0,0.02037966397556186,0.02751587454300558,0.01960012250076563,0.013909256543571969,0.011806375442739079,33.015893,87.12714799999999,0.7169336077091774,0.0,0.018642258601128826,60.7,75.0,46.4,4.58,0.1,78.7,90.3,67.0,4.65,0.0,44.8,56.7,33.0,5.07,0.1,46.5,59.3,33.8,5.75,0.0,42.7,54.8,30.6,5.32,0.2,79.0,90.8,67.2,4.74,0.0,76.0,88.2,63.8,4.41,0.0,53.6,67.6,39.5,5.27,0.4,68.8,81.9,55.6,4.37,0.0,52.8,66.3,39.3,5.29,0.0,62.3,75.6,49.0,3.29,0.0,73.0,85.4,60.7,4.49,0.0,44.666666666666664,77.89999999999999,61.57499999999999,SOUTHEAST,Alabama,22915,0.017717652192886756,0.7502072878027493,0.2192450360026184,0.0009600698232598736,0.14204669430504036,0.21466288457342353,White,Shelby County Airport,36.777427959017665
4,4,9,"Blount County, Alabama",1,2239,20816,39408,57126,9552,45813.0,20532,402.0,119800.0,1,9,13684,39408,9512,21651,5080,0.07481953290870487,0.16720932675139166,0.5494062119366626,0.1289078359723914,0.5260273972602739,0.0,0.4328767123287671,0.0,0.5561643835616439,0.0,0.5218579234972678,0.0,0.4238683127572017,0.0,4.0,0.005739506646662711,0.024532101809090597,0.02536738676198864,0.024841291747170854,0.02403639057842411,33.977447999999995,86.567246,0.4921589458810309,0.0,0.02090333550866738,60.2,73.2,47.2,4.36,0.0,78.9,90.2,67.7,3.31,0.0,43.7,55.0,32.3,5.09,0.1,45.0,56.9,33.0,5.5,0.3,41.3,52.5,30.1,5.29,0.6,79.3,90.3,68.3,5.47,0.0,75.7,87.2,64.3,4.67,0.0,52.7,65.6,39.8,4.98,0.7,68.5,81.0,56.0,4.73,0.0,52.3,64.9,39.7,4.9,0.0,61.6,74.9,48.3,3.5,0.0,72.6,84.7,60.5,3.61,0.0,43.333333333333336,77.96666666666667,60.98333333333334,SOUTHEAST,Alabama,57322,0.08070199923240641,0.8888733819475942,0.01263040368444925,0.0020062105299884863,0.16593977879348243,0.23872160775967344,White,Birmingham-Shuttlesworth International Airport,49.111277466997436
5,5,11,"Bullock County, Alabama",1,336,3683,7438,10098,2486,31938.0,17580,303.0,68600.0,1,11,2234,7438,1558,5092,1031,0.17625745950554134,0.24618736383442266,0.6845926324280721,0.13861253025006726,0.8421052631578947,0.0,0.8274647887323944,0.0,0.6323119777158774,0.0,0.7851239669421488,0.0,0.7078651685393258,0.005617977528089888,5.0,0.01191130657870625,0.017962979848636818,0.0200302343159486,0.015473887814313346,0.018703948611373512,32.101759,85.717261,0.7589742330175282,0.0011235955056179776,0.016816471433795704,61.6,75.5,47.7,3.95,,79.1,89.8,68.4,4.48,,47.3,59.4,35.2,4.67,,48.9,61.7,36.1,4.6,,45.3,57.4,33.1,4.81,,79.8,90.5,69.0,5.32,,77.0,88.3,65.7,5.22,,55.4,69.1,41.7,6.05,,69.9,82.6,57.2,4.08,,55.0,68.6,41.3,5.06,,64.0,77.1,51.0,3.06,,74.0,85.5,62.6,4.12,,47.166666666666664,78.63333333333334,63.10833333333333,SOUTHEAST,Alabama,10914,0.07119296316657504,0.21916804104819496,0.6997434487813817,0.001832508704416346,0.14275242807403335,0.20469122228330586,Black,Troy Municipal Airport at N Kenneth Campbell Field,38.636670155701616
6,6,13,"Butler County, Alabama",1,1155,8056,13996,20083,5094,32229.0,18390,346.0,78900.0,1,13,4728,13996,3624,8376,2032,0.1013113612626204,0.2536473634417169,0.5984567019148328,0.14518433838239495,0.8421052631578947,0.0,0.8274647887323944,0.0,0.6323119777158774,0.0,0.7851239669421488,0.0,0.7078651685393258,0.005617977528089888,6.0,0.02912111519549339,0.0403363740022805,0.03520956928567984,0.02920543310612468,0.03709412759186515,31.751666999999998,86.681969,0.7589742330175282,0.0011235955056179776,0.034193323836288717,62.5,75.9,49.1,3.97,0.0,79.0,90.0,68.1,4.76,0.0,47.5,59.4,35.6,4.66,0.1,49.2,61.7,36.7,4.86,0.0,45.5,57.6,33.4,5.27,0.1,79.3,90.4,68.2,5.79,0.0,76.8,88.3,65.3,5.0,0.0,55.7,69.1,42.3,6.1,0.1,70.6,83.0,58.2,3.94,0.0,55.6,68.4,42.8,5.2,0.0,64.7,77.2,52.2,3.64,0.0,74.4,85.7,63.1,4.17,0.0,47.4,78.36666666666666,63.400000000000006,SOUTHEAST,Alabama,20947,0.009118250823506945,0.5406024729078149,0.4318995560223421,0.00830667876068172,0.17300806798109514,0.22571251253162744,White,South Alabama Regional At Bill Benton Field Airport,56.21605210230627
7,7,15,"Calhoun County, Alabama",1,3971,45154,78700,113602,23325,41703.0,21374,443.0,105900.0,1,15,26081,78700,18067,40083,13818,0.11771922539730476,0.2053220893998345,0.5093138500635324,0.1755781448538755,0.8683274021352313,0.0,0.8683274021352313,0.0,0.6054794520547945,0.0,0.4602272727272727,0.0,0.6629213483146067,0.0,7.0,0.04354316364740411,0.0477997028780541,0.05087511625940645,0.04269716749505959,0.03965423909401019,33.771706,85.822513,0.6930565754734274,0.0,0.04491387787478689,61.7,74.0,49.5,4.11,0.2,79.6,89.6,69.6,3.29,0.0,45.5,55.8,35.3,4.12,0.0,47.2,58.1,36.3,5.08,0.4,43.4,53.7,33.0,4.52,0.7,80.0,89.9,70.1,4.62,0.0,77.0,87.3,66.6,4.08,0.0,54.6,66.3,42.8,4.96,0.7,69.9,81.0,58.8,4.26,0.0,53.5,65.2,41.9,4.58,0.0,63.0,74.8,51.3,3.12,0.0,73.5,84.1,62.9,2.93,0.0,45.366666666666674,78.86666666666666,62.40833333333333,SOUTHEAST,Alabama,118572,0.03283237189218365,0.7361350065782816,0.2039014269810748,0.006999966265222818,0.1523715548358803,0.21995918091961003,White,Anniston Metropolitan Airport,20.619642164210365
8,8,17,"Chambers County, Alabama",1,1382,13787,23814,33687,7273,34177.0,21071,414.0,80800.0,1,17,7368,23814,6122,14159,2759,0.08420268256333831,0.21589930833852825,0.5945662215503486,0.1158562190308222,0.8474576271186439,0.0,0.8421052631578947,0.0,0.9017857142857144,0.0,0.9396551724137931,0.0,0.8448275862068966,0.0,8.0,0.07617794156356936,0.04749854566608493,0.0451063829787234,0.04295578081386808,0.040766193887995315,32.917943,85.391812,0.8751662726365886,0.0,0.05050096898204822,60.6,75.4,45.9,4.55,,78.1,89.6,66.6,4.2,,44.4,57.1,31.6,4.85,,46.5,59.9,33.1,5.07,,42.5,55.5,29.5,5.02,,78.8,90.7,66.9,5.12,,75.6,87.9,63.2,4.18,,53.6,67.9,39.2,5.72,,68.6,82.2,55.1,4.27,,52.7,66.4,39.0,4.58,,62.0,75.6,48.4,3.28,,72.2,84.7,59.7,3.71,,44.46666666666667,77.49999999999999,61.300000000000004,SOUTHEAST,Alabama,34215,0.015665643723513083,0.5814116615519509,0.3859710653222271,0.004851673242729797,0.17892737103609527,0.21534414730381413,White,Columbus Metropolitan Airport,61.53758400292268
9,9,19,"Cherokee County, Alabama",1,1215,11278,18734,25575,4918,36296.0,21811,383.0,105100.0,1,19,5346,18734,5156,10668,2578,0.0766308376575241,0.19229716520039103,0.5694459271912031,0.13761076118287605,0.8683274021352313,0.0,0.8683274021352313,0.0,0.6054794520547945,0.0,0.4602272727272727,0.0,0.6629213483146067,0.0,9.0,0.0296663973219439,0.04399938730183044,0.04292485283999694,0.04107273216275406,0.03204201232970546,34.069515,85.65424200000001,0.6930565754734274,0.0,0.03794107639124616,59.1,73.2,44.9,4.27,,77.9,89.6,66.1,4.41,,41.5,52.7,30.3,4.67,,42.9,55.3,30.5,5.26,,39.3,50.7,27.9,5.21,,78.6,90.3,66.8,4.74,,75.0,87.1,62.8,4.34,,51.1,64.7,37.5,5.26,,67.0,80.4,53.6,4.34,,50.7,63.6,37.7,4.48,,60.5,73.9,47.1,3.39,,71.8,84.1,59.4,3.73,,41.23333333333333,77.16666666666667,59.61666666666667,SOUTHEAST,Alabama,25989,0.012312901612220557,0.9207356958713302,0.046404247951056216,0.0018854130593712727,0.19839162722690368,0.20570241255915964,White,Anniston Metropolitan Airport,56.62417274391605
