,COUNTY,NAME,ST,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pop_under18,Pop_over25,Pop_over65,High_school_orless,College_ormore,unemp_rate,Pov_rate,Share_highschool_orless,Share_college_ormore
0,001,"Autauga County, Alabama",01,1521,20396,36319,54793,7057,51281.0,24974,726.0,141300.0,01,001,14044,36319,7478,16838,8437,0.07103803642371082,0.1287938240286168,0.4636140862909221,0.23230265150472204
1,003,"Baldwin County, Alabama",01,5769,74104,137001,192355,25798,50254.0,27317,698.0,169300.0,01,003,43641,137001,35376,53791,39710,0.072862772726272,0.13411660731460062,0.392632170568098,0.28985189889124896
2,005,"Barbour County, Alabama",01,1378,9222,18808,24024,6421,32964.0,16824,371.0,92200.0,01,005,5738,18808,4325,11511,2354,0.1739172560798372,0.26727439227439226,0.6120267971076138,0.12515950659293917
3,007,"Bibb County, Alabama",01,696,7027,15629,20767,3488,38678.0,18431,416.0,102700.0,01,007,4919,15629,3255,9598,1664,0.08154943934760449,0.16795878075793325,0.6141147866146267,0.10646874400153561
4,009,"Blount County, Alabama",01,2239,20816,39408,57126,9552,45813.0,20532,402.0,119800.0,01,009,13684,39408,9512,21651,5080,0.07481953290870488,0.16720932675139166,0.5494062119366626,0.1289078359723914
5,011,"Bullock County, Alabama",01,336,3683,7438,10098,2486,31938.0,17580,303.0,68600.0,01,011,2234,7438,1558,5092,1031,0.17625745950554134,0.24618736383442266,0.6845926324280721,0.13861253025006723
6,013,"Butler County, Alabama",01,1155,8056,13996,20083,5094,32229.0,18390,346.0,78900.0,01,013,4728,13996,3624,8376,2032,0.1013113612626204,0.2536473634417169,0.5984567019148328,0.14518433838239497
7,015,"Calhoun County, Alabama",01,3971,45154,78700,113602,23325,41703.0,21374,443.0,105900.0,01,015,26081,78700,18067,40083,13818,0.11771922539730474,0.2053220893998345,0.5093138500635324,0.1755781448538755
8,017,"Chambers County, Alabama",01,1382,13787,23814,33687,7273,34177.0,21071,414.0,80800.0,01,017,7368,23814,6122,14159,2759,0.08420268256333831,0.21589930833852822,0.5945662215503486,0.1158562190308222
9,019,"Cherokee County, Alabama",01,1215,11278,18734,25575,4918,36296.0,21811,383.0,105100.0,01,019,5346,18734,5156,10668,2578,0.0766308376575241,0.192297165200391,0.5694459271912031,0.13761076118287605
10,021,"Chilton County, Alabama",01,1382,16237,29472,43282,8288,41627.0,21399,448.0,100100.0,01,021,10616,29472,6542,17926,4151,0.08498259830658147,0.19148837854073286,0.6082383279044516,0.14084554831704668
11,023,"Choctaw County, Alabama",01,886,5575,9534,13202,3093,33536.0,20755,312.0,61100.0,01,023,2818,9534,2713,5762,1126,0.13450409099980043,0.23428268444175124,0.604363331235578,0.11810362911684498
12,025,"Clarke County, Alabama",01,1211,9622,17128,24683,6107,32011.0,20064,362.0,86900.0,01,025,5754,17128,4391,10854,2217,0.190212466015507,0.2474172507393753,0.6336992059785147,0.12943717888836992
13,027,"Clay County, Alabama",01,559,5419,9535,13219,2201,35327.0,18905,292.0,84100.0,01,027,2975,9535,2557,5837,914,0.08010148604566872,0.1665027611770936,0.6121657052962769,0.09585736759307813
14,029,"Cleburne County, Alabama",01,697,5776,10420,14777,2508,38056.0,20151,367.0,108000.0,01,029,3481,10420,2655,6578,1257,0.07990165949600492,0.1697232185152602,0.6312859884836852,0.12063339731285988
15,031,"Coffee County, Alabama",01,3491,19160,34464,50232,8581,46729.0,24936,495.0,142400.0,01,031,12124,34464,7848,15442,8223,0.0659320727338684,0.17082736104475235,0.44806174558960077,0.23859679665738162
16,033,"Colbert County, Alabama",01,2110,22204,38008,53995,9406,40576.0,22546,418.0,99400.0,01,033,11852,38008,9833,19267,7063,0.08791590652419425,0.1742013149365682,0.5069195958745527,0.18582929909492737
17,035,"Conecuh County, Alabama",01,676,5168,8905,12789,4320,24900.0,15968,328.0,70100.0,01,035,2846,8905,2517,5913,732,0.22513199577613516,0.3377902885292048,0.6640089837170129,0.08220101066816396
