,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,local_code
1,3632,KLAX,large_airport,Los Angeles International Airport,33.9425,-118.408,125,US-CA,Los Angeles,KLAX,LAX,LAX
2,3622,KJFK,large_airport,John F Kennedy International Airport,40.6398,-73.7789,13,US-NY,New York,KJFK,JFK,JFK
3,3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,672,US-IL,Chicago,KORD,ORD,ORD
4,3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.4281,1026,US-GA,Atlanta,KATL,ATL,ATL
5,3878,KSFO,large_airport,San Francisco International Airport,37.619,-122.375,13,US-CA,San Francisco,KSFO,SFO,SFO
6,3521,KEWR,large_airport,Newark Liberty International Airport,40.6925,-74.1687,18,US-NJ,Newark,KEWR,EWR,EWR
7,3631,KLAS,large_airport,McCarran International Airport,36.0801,-115.152,2181,US-NV,Las Vegas,KLAS,LAS,LAS
8,3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.8968,-97.038,607,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW
9,3670,KMCO,large_airport,Orlando International Airport,28.4294,-81.309,96,US-FL,Orlando,KMCO,MCO,MCO
10,3486,KDEN,large_airport,Denver International Airport,39.8617,-104.673,5431,US-CO,Denver,KDEN,DEN,DEN
11,3685,KMIA,large_airport,Miami International Airport,25.7932,-80.2906,8,US-FL,Miami,KMIA,MIA,MIA
12,3602,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.4558,312,US-DC,Washington,KIAD,IAD,IAD
13,3643,KLGA,large_airport,La Guardia Airport,40.7772,-73.8726,21,US-NY,New York,KLGA,LGA,LGA
14,3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.4343,-112.012,1135,US-AZ,Phoenix,KPHX,PHX,PHX
15,3875,KSEA,large_airport,Seattle Tacoma International Airport,47.449,-122.309,433,US-WA,Seattle,KSEA,SEA,SEA
16,3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,42.3643,-71.0052,20,US-MA,Boston,KBOS,BOS,BOS
17,3771,KPHL,large_airport,Philadelphia International Airport,39.8719,-75.2411,36,US-PA,Philadelphia,KPHL,PHL,PHL
18,3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.9844,-95.3414,97,US-TX,Houston,KIAH,IAH,IAH
19,3457,KCLT,large_airport,Charlotte Douglas International Airport,35.214,-80.9431,748,US-NC,Charlotte,KCLT,CLT,CLT
20,3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.0377,15,US-DC,Washington,KDCA,DCA,DCA
21,3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.2124,-83.3534,645,US-MI,Detroit,KDTW,DTW,DTW
22,3709,KMSP,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.2218,841,US-MN,Minneapolis,KMSP,MSP,MSP
23,3887,KSLC,large_airport,Salt Lake City International Airport,40.7884,-111.978,4227,US-UT,Salt Lake City,KSLC,SLC,SLC
24,3862,KSAN,large_airport,San Diego International Airport,32.7336,-117.19,17,US-CA,San Diego,KSAN,SAN,SAN
25,3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.0726,-80.1527,9,US-FL,Fort Lauderdale,KFLL,FLL,FLL
26,3673,KMDW,large_airport,Chicago Midway International Airport,41.786,-87.7524,620,US-IL,Chicago,KMDW,MDW,MDW
27,3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.6683,146,US-MD,Baltimore,KBWI,BWI,BWI
28,3905,KSTL,large_airport,St Louis Lambert International Airport,38.7487,-90.37,618,US-MO,St Louis,KSTL,STL,STL
29,5453,PHNL,large_airport,Daniel K Inouye International Airport,21.3206,-157.9242,13,US-HI,Honolulu,PHNL,HNL,HNL
30,3768,KPDX,large_airport,Portland International Airport,45.5887,-122.598,31,US-OR,Portland,KPDX,PDX,PDX
31,3926,KTPA,large_airport,Tampa International Airport,27.9755,-82.5332,26,US-FL,Tampa,KTPA,TPA,TPA
32,3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.0488,-84.6678,896,US-KY,Cincinnati,KCVG,CVG,CVG
33,3711,KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.9934,-90.258,4,US-LA,New Orleans,KMSY,MSY,MSY
34,3778,KPIT,large_airport,Pittsburgh International Airport,40.4915,-80.2329,1203,US-PA,Pittsburgh,KPIT,PIT,PIT
35,3744,KOAK,large_airport,Metropolitan Oakland International Airport,37.7213,-122.221,9,US-CA,Oakland,KOAK,OAK,OAK
36,3420,KBNA,large_airport,Nashville International Airport,36.1245,-86.6782,599,US-TN,Nashville,KBNA,BNA,BNA
37,3883,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.3626,-121.929,62,US-CA,San Jose,KSJC,SJC,SJC
38,3844,KRDU,large_airport,Raleigh Durham International Airport,35.8776,-78.7875,435,US-NC,Raleigh/Durham,KRDU,RDU,RDU
39,3386,KAUS,large_airport,Austin Bergstrom International Airport,30.1945,-97.6699,542,US-TX,Austin,KAUS,AUS,AUS
40,3675,KMEM,large_airport,Memphis International Airport,35.0424,-89.9767,341,US-TN,Memphis,KMEM,MEM,MEM
