,Population,Hispanic_Latino,White,Black,Asian,Urban,NAME,state,county,Hispanic_Latino_share,White_share,Black_share,Asian_share
0,54571,1310,42154,9595,467,0,Autauga County,01,001,0.024005424126367483,0.772461563834271,0.1758259881622107,0.008557658829781385
1,182265,7992,152200,16966,1340,0,Baldwin County,01,003,0.04384824294296766,0.8350478698598195,0.09308424546676543,0.007351932625572656
2,27457,1387,12837,12820,107,0,Barbour County,01,005,0.0505153512765415,0.4675310485486397,0.4669118986050916,0.003897002585861529
3,22915,406,17191,5024,22,0,Bibb County,01,007,0.017717652192886756,0.7502072878027493,0.21924503600261838,0.0009600698232598735
4,57322,4626,50952,724,115,0,Blount County,01,009,0.08070199923240641,0.8888733819475942,0.01263040368444925,0.0020062105299884863
5,10914,777,2392,7637,20,0,Bullock County,01,011,0.07119296316657504,0.21916804104819498,0.6997434487813817,0.001832508704416346
6,20947,191,11324,9047,174,0,Butler County,01,013,0.009118250823506946,0.5406024729078149,0.4318995560223421,0.00830667876068172
7,118572,3893,87285,24177,830,0,Calhoun County,01,015,0.03283237189218365,0.7361350065782816,0.2039014269810748,0.006999966265222818
8,34215,536,19893,13206,166,0,Chambers County,01,017,0.01566564372351308,0.5814116615519509,0.3859710653222271,0.004851673242729797
9,25989,320,23929,1206,49,0,Cherokee County,01,019,0.012312901612220555,0.9207356958713302,0.046404247951056216,0.0018854130593712725
10,43643,3420,35395,4171,125,0,Chilton County,01,021,0.0783630822812364,0.8110120752468896,0.09557088192837339,0.002864147744197237
11,13859,73,7700,5990,12,0,Choctaw County,01,023,0.005267335305577603,0.5555956418211992,0.4322101161699978,0.0008658633379031676
12,25833,271,13943,11280,74,0,Clarke County,01,025,0.010490457941392792,0.5397359965935045,0.43665079549413544,0.002864553091007626
13,13932,399,11186,2048,23,0,Clay County,01,027,0.02863910422049957,0.80289979902383,0.14699971289118577,0.0016508756818834338
14,14972,307,13956,494,23,0,Cleburne County,01,029,0.020504942559444295,0.9321399946566925,0.03299492385786802,0.0015362009083622762
15,49948,3180,36134,8257,629,0,Coffee County,01,031,0.06366621286137583,0.723432369664451,0.16531192440137743,0.012593096820693522
16,54428,1093,43334,8702,224,0,Colbert County,01,033,0.020081575659586976,0.796171088410377,0.15988094363195415,0.004115528771955611
17,13228,161,6764,6122,17,0,Conecuh County,01,035,0.012171152101602661,0.5113395827033566,0.46280616873299063,0.0012851527063804052
18,11539,230,7604,3556,14,0,Coosa County,01,037,0.019932403154519454,0.6589825808128954,0.308172285293353,0.0012132767137533582
19,37765,483,31751,4685,148,0,Covington County,01,039,0.012789620018535681,0.8407520190652721,0.12405666622534092,0.003918972593671389
20,13906,204,10020,3241,189,0,Crenshaw County,01,041,0.014669926650366748,0.7205522795915432,0.23306486408744426,0.0135912555731339
