STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	1	1	1	57161	54604	3	3	100	139	1765	3	15	34	87	447	1233	85	108
9999	1	4	2	1	3	187467	187467	14	14	100	446	4988	8	30	76	332	967	3829	192	31
9999	1	4	3	1	5	27228	25566	6	4	97.0113	48	474	0	4	8	36	90	362	21	0
9999	1	4	4	1	7	22907	22857	5	6	94.4853	49	399	1	4	8	36	122	251	27	0
9999	1	4	5	1	9	57909	57909	6	6	98.6338	122	1347	1	11	9	101	397	865	86	9
9999	1	4	6	1	11	10584	10584	2	2	57.5822	56	156	0	2	12	43	98	55	3	23
9999	1	4	7	1	13	20741	20733	4	4	97.6483	109	621	6	5	11	87	182	408	30	3
9999	1	4	8	1	15	122213	118270	8	10	99.5075	678	5339	6	37	131	504	1710	3482	147	34
9999	1	4	9	1	17	34075	34075	4	4	100	192	1345	1	7	24	160	374	875	96	5
9999	1	4	10	1	19	26141	26162	4	5	100	109	1014	1	4	2	102	329	610	75	12
9999	1	4	11	1	21	43975	44071	5	6	99.8366	156	1362	0	13	14	129	389	886	87	8
9999	1	4	12	1	23	13664	13000	4	2	100	13	85	1	0	0	12	38	42	5	0
9999	1	4	13	1	25	25798	25447	5	4	97.2472	121	605	0	16	12	93	172	399	34	1
9999	1	4	14	1	27	13918	13918	3	3	100	58	132	0	0	3	55	26	95	11	24
9999	1	4	15	1	29	14895	14895	3	3	86.7517	29	274	0	1	2	25	88	178	8	2
9999	1	4	16	1	31	51153	50729	5	5	100	174	1180	2	5	12	155	321	786	73	13
9999	1	4	17	1	33	54731	54731	8	7	97.9643	263	2091	2	15	34	212	636	1342	112	3
9999	1	4	18	1	35	13150	13158	4	5	95.2171	83	403	1	4	8	70	108	252	42	5
9999	1	4	19	1	37	10756	8928	3	1	100	21	224	0	2	2	17	74	138	12	2
9999	1	4	20	1	39	38211	38211	9	9	93.1355	98	1004	1	13	7	78	282	684	38	12
9999	1	4	21	1	41	13967	13448	5	3	93.9694	67	241	1	3	3	60	85	133	23	2
9999	1	4	22	1	43	80832	80859	3	4	100	192	2065	2	16	13	161	483	1483	99	6
9999	1	4	23	1	45	48935	50245	10	12	98.9775	205	1318	1	8	32	164	325	930	63	13
9999	1	4	24	1	47	43506	43506	3	2	100	348	2316	9	24	70	245	743	1415	158	26
9999	1	4	25	1	49	71683	71662	14	14	98.353	271	1773	0	20	9	242	558	1085	131	10
9999	1	4	26	1	51	80528	80484	7	8	99.6136	230	2117	4	23	44	159	665	1367	85	14
9999	1	4	27	1	53	38248	38248	5	5	100	235	1154	3	7	18	207	299	793	62	14
9999	1	4	28	1	55	103809	97544	10	8	99.2824	534	4209	2	45	126	361	1241	2674	294	42
9999	1	4	29	1	57	16480	17251	3	4	95.009	39	179	1	9	3	26	52	110	17	7
9999	1	4	30	1	59	32012	32012	5	5	98.7906	157	746	0	10	13	134	216	494	35	2
9999	1	4	31	1	61	26882	26889	5	6	99.9957	85	590	0	7	5	73	162	394	34	9
9999	1	4	32	1	63	8957	8315	3	2	94.5801	79	152	0	2	7	70	48	90	15	12
9999	1	4	33	1	65	16218	15483	3	3	88.1176	21	147	0	3	2	16	66	67	14	1
9999	1	4	34	1	67	17477	17482	4	5	96.8882	67	344	4	5	6	52	140	186	17	4
9999	1	4	35	1	69	103678	102780	9	9	98.0524	416	3659	7	42	108	259	1095	2380	184	18
9999	1	4	36	1	71	53505	51981	9	7	96.5414	204	1395	0	17	2	185	452	858	84	11
