,COUNTY,NAME,ST,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pop_under18,Pop_over25,Pop_over65,High_school_orless,College_ormore,unemp_rate,Pov_rate,Share_highschool_orless,Share_college_ormore,aqi_good_2013,aqi_bad_2013,aqi_good_2014,aqi_bad_2014,aqi_good_2015,aqi_bad_2015,aqi_good_2016,aqi_bad_2016,aqi_good_2017,aqi_bad_2017,Unnamed: 0,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014,Latitude,Longitude,aqi_good,aqi_bad,crime_rate,Apr_avg_temp,Apr_max_temp,Apr_min_temp,Apr_prcp,Apr_snow,Aug_avg_temp,Aug_max_temp,Aug_min_temp,Aug_prcp,Aug_snow,Dec_avg_temp,Dec_max_temp,Dec_min_temp,Dec_prcp,Dec_snow,Feb_avg_temp,Feb_max_temp,Feb_min_temp,Feb_prcp,Feb_snow,Jan_avg_temp,Jan_max_temp,Jan_min_temp,Jan_prcp,Jan_snow,Jul_avg_temp,Jul_max_temp,Jul_min_temp,Jul_prcp,Jul_snow,Jun_avg_temp,Jun_max_temp,Jun_min_temp,Jun_prcp,Jun_snow,Mar_avg_temp,Mar_max_temp,Mar_min_temp,Mar_prcp,Mar_snow,May_avg_temp,May_max_temp,May_min_temp,May_prcp,May_snow,Nov_avg_temp,Nov_max_temp,Nov_min_temp,Nov_prcp,Nov_snow,Oct_avg_temp,Oct_max_temp,Oct_min_temp,Oct_prcp,Oct_snow,Sep_avg_temp,Sep_max_temp,Sep_min_temp,Sep_prcp,Sep_snow,winter_avg_temp,summer_avg_temp,annual_avg_temp,Region,State_name,Population,Hispanic_Latino,White,Black,Asian,Hispanic_Latino_share,White_share,Black_share,Asian_share,Share_over65,Share_under18,airport,dist_airport
0,1,"Autauga County, Alabama",1,1521,20396,36319,54793,7057,51281,24974,726,141300,1,1,14044,36319,7478,16838,8437,0.071038036,0.128793824,0.463614086,0.232302652,0.93852459,0,0.914285714,0,0.957081545,0,0.914529915,0,0.952380952,0,0,0.030492386,0.033409928,0.03486924,0.033143939,0.032411733,32.536382,86.64449,0.935360543,0,0.032865445,61.4,74.6,48.2,4.69,0,78.9,89.7,68,3.93,0,45.4,56.2,34.6,5.36,0,46.9,58.6,35.1,5.6,0,43.1,54,32.2,5.35,0.1,79.6,90.1,69,5.55,0,76.4,87.4,65.4,4.93,0,54.5,67.3,41.7,5.72,0.5,69.7,81.6,57.8,4.11,0,53.4,65.5,41.3,5.34,0,62.7,75.2,50.3,3.46,0,73.2,84.7,61.7,3.84,0,45.13333333,78.3,62.1,SOUTHEAST,Alabama,54571,1310,42154,9595,467,0.024005424,0.772461564,0.175825988,0.008557659,0.13703249,0.257352806,Maxwell Air Force Base,31.24484467
1,3,"Baldwin County, Alabama",1,5769,74104,137001,192355,25798,50254,27317,698,169300,1,3,43641,137001,35376,53791,39710,0.072862773,0.134116607,0.392632171,0.289851899,0.860805861,0,0.828571429,0,0.871212121,0,0.885304659,0,0.822222222,0,1,0.024941706,0.028764565,0.028986435,0.027192973,0.022959038,30.659218,87.746067,0.853623258,0,0.026568944,65.1,76.9,53.4,4.62,0,80.9,90.2,71.6,7.05,0,51.7,62.8,40.6,4.68,0.1,52.7,64.4,40.9,5.25,0,49.5,60.9,38.1,5.63,0,81.1,90.4,71.8,8.14,0,79,88.7,69.3,6.37,0,59,70.7,47.2,6.03,0,73,84,62,4.43,0,58.9,70.8,47.1,5.26,0,67.4,79,55.7,4.14,0,76.6,86.6,66.6,5.72,0,51.3,80.33333333,66.24166667,SOUTHEAST,Alabama,182265,7992,152200,16966,1340,0.043848243,0.83504787,0.093084245,0.007351933,0.194091021,0.239437083,Mobile Downtown Airport,31.07799783
2,5,"Barbour County, Alabama",1,1378,9222,18808,24024,6421,32964,16824,371,92200,1,5,5738,18808,4325,11511,2354,0.173917256,0.267274392,0.612026797,0.125159507,0.816901408,0,0.767605634,0,0.581602374,0,0.747081712,0,0.842105263,0,2,0.017661344,0.027474718,0.020417742,0.029142474,0.030094617,31.87067,85.405456,0.751059278,0,0.024958179,62.1,76.7,47.5,,,78.6,90.6,66.7,,,47.4,60.3,34.4,,,48.9,62.4,35.5,,,44.9,57.8,32.1,,,79.3,91.2,67.5,,,76.9,89.1,64.6,,,55.8,69.9,41.7,,,70.1,83.8,56.4,,,55.6,69.5,41.6,,,64.3,78,50.7,,,73.8,86.3,61.4,,,47.06666667,78.26666667,63.14166667,SOUTHEAST,Alabama,27457,1387,12837,12820,107,0.050515351,0.467531049,0.466911899,0.003897003,0.15751903,0.208981316,Dothan Regional Airport,61.05791649
3,7,"Bibb County, Alabama",1,696,7027,15629,20767,3488,38678,18431,416,102700,1,7,4919,15629,3255,9598,1664,0.081549439,0.167958781,0.614114787,0.106468744,0.919889503,0,0.896428571,0,0.540616246,0,0.61369863,0,0.614035088,0,3,0.020379664,0.027515875,0.019600123,0.013909257,0.011806375,33.015893,87.127148,0.716933608,0,0.018642259,60.7,75,46.4,4.58,0.1,78.7,90.3,67,4.65,0,44.8,56.7,33,5.07,0.1,46.5,59.3,33.8,5.75,0,42.7,54.8,30.6,5.32,0.2,79,90.8,67.2,4.74,0,76,88.2,63.8,4.41,0,53.6,67.6,39.5,5.27,0.4,68.8,81.9,55.6,4.37,0,52.8,66.3,39.3,5.29,0,62.3,75.6,49,3.29,0,73,85.4,60.7,4.49,0,44.66666667,77.9,61.575,SOUTHEAST,Alabama,22915,406,17191,5024,22,0.017717652,0.750207288,0.219245036,0.00096007,0.142046694,0.214662885,Shelby County Airport,36.77742796
4,9,"Blount County, Alabama",1,2239,20816,39408,57126,9552,45813,20532,402,119800,1,9,13684,39408,9512,21651,5080,0.074819533,0.167209327,0.549406212,0.128907836,0.526027397,0,0.432876712,0,0.556164384,0,0.521857923,0,0.423868313,0,4,0.005739507,0.024532102,0.025367387,0.024841292,0.024036391,33.977448,86.567246,0.492158946,0,0.020903336,60.2,73.2,47.2,4.36,0,78.9,90.2,67.7,3.31,0,43.7,55,32.3,5.09,0.1,45,56.9,33,5.5,0.3,41.3,52.5,30.1,5.29,0.6,79.3,90.3,68.3,5.47,0,75.7,87.2,64.3,4.67,0,52.7,65.6,39.8,4.98,0.7,68.5,81,56,4.73,0,52.3,64.9,39.7,4.9,0,61.6,74.9,48.3,3.5,0,72.6,84.7,60.5,3.61,0,43.33333333,77.96666667,60.98333333,SOUTHEAST,Alabama,57322,4626,50952,724,115,0.080701999,0.888873382,0.012630404,0.002006211,0.165939779,0.238721608,Birmingham-Shuttlesworth International Airport,49.11127747
5,11,"Bullock County, Alabama",1,336,3683,7438,10098,2486,31938,17580,303,68600,1,11,2234,7438,1558,5092,1031,0.17625746,0.246187364,0.684592632,0.13861253,0.842105263,0,0.827464789,0,0.632311978,0,0.785123967,0,0.707865169,0.005617978,5,0.011911307,0.01796298,0.020030234,0.015473888,0.018703949,32.101759,85.717261,0.758974233,0.001123596,0.016816471,61.6,75.5,47.7,3.95,,79.1,89.8,68.4,4.48,,47.3,59.4,35.2,4.67,,48.9,61.7,36.1,4.6,,45.3,57.4,33.1,4.81,,79.8,90.5,69,5.32,,77,88.3,65.7,5.22,,55.4,69.1,41.7,6.05,,69.9,82.6,57.2,4.08,,55,68.6,41.3,5.06,,64,77.1,51,3.06,,74,85.5,62.6,4.12,,47.16666667,78.63333333,63.10833333,SOUTHEAST,Alabama,10914,777,2392,7637,20,0.071192963,0.219168041,0.699743449,0.001832509,0.142752428,0.204691222,Troy Municipal Airport at N Kenneth Campbell Field,38.63667016
6,13,"Butler County, Alabama",1,1155,8056,13996,20083,5094,32229,18390,346,78900,1,13,4728,13996,3624,8376,2032,0.101311361,0.253647363,0.598456702,0.145184338,0.842105263,0,0.827464789,0,0.632311978,0,0.785123967,0,0.707865169,0.005617978,6,0.029121115,0.040336374,0.035209569,0.029205433,0.037094128,31.751667,86.681969,0.758974233,0.001123596,0.034193324,62.5,75.9,49.1,3.97,0,79,90,68.1,4.76,0,47.5,59.4,35.6,4.66,0.1,49.2,61.7,36.7,4.86,0,45.5,57.6,33.4,5.27,0.1,79.3,90.4,68.2,5.79,0,76.8,88.3,65.3,5,0,55.7,69.1,42.3,6.1,0.1,70.6,83,58.2,3.94,0,55.6,68.4,42.8,5.2,0,64.7,77.2,52.2,3.64,0,74.4,85.7,63.1,4.17,0,47.4,78.36666667,63.4,SOUTHEAST,Alabama,20947,191,11324,9047,174,0.009118251,0.540602473,0.431899556,0.008306679,0.173008068,0.225712513,South Alabama Regional At Bill Benton Field Airport,56.2160521
7,15,"Calhoun County, Alabama",1,3971,45154,78700,113602,23325,41703,21374,443,105900,1,15,26081,78700,18067,40083,13818,0.117719225,0.205322089,0.50931385,0.175578145,0.868327402,0,0.868327402,0,0.605479452,0,0.460227273,0,0.662921348,0,7,0.043543164,0.047799703,0.050875116,0.042697167,0.039654239,33.771706,85.822513,0.693056575,0,0.044913878,61.7,74,49.5,4.11,0.2,79.6,89.6,69.6,3.29,0,45.5,55.8,35.3,4.12,0,47.2,58.1,36.3,5.08,0.4,43.4,53.7,33,4.52,0.7,80,89.9,70.1,4.62,0,77,87.3,66.6,4.08,0,54.6,66.3,42.8,4.96,0.7,69.9,81,58.8,4.26,0,53.5,65.2,41.9,4.58,0,63,74.8,51.3,3.12,0,73.5,84.1,62.9,2.93,0,45.36666667,78.86666667,62.40833333,SOUTHEAST,Alabama,118572,3893,87285,24177,830,0.032832372,0.736135007,0.203901427,0.006999966,0.152371555,0.219959181,Anniston Metropolitan Airport,20.61964216
8,17,"Chambers County, Alabama",1,1382,13787,23814,33687,7273,34177,21071,414,80800,1,17,7368,23814,6122,14159,2759,0.084202683,0.215899308,0.594566222,0.115856219,0.847457627,0,0.842105263,0,0.901785714,0,0.939655172,0,0.844827586,0,8,0.076177942,0.047498546,0.045106383,0.042955781,0.040766194,32.917943,85.391812,0.875166273,0,0.050500969,60.6,75.4,45.9,4.55,,78.1,89.6,66.6,4.2,,44.4,57.1,31.6,4.85,,46.5,59.9,33.1,5.07,,42.5,55.5,29.5,5.02,,78.8,90.7,66.9,5.12,,75.6,87.9,63.2,4.18,,53.6,67.9,39.2,5.72,,68.6,82.2,55.1,4.27,,52.7,66.4,39,4.58,,62,75.6,48.4,3.28,,72.2,84.7,59.7,3.71,,44.46666667,77.5,61.3,SOUTHEAST,Alabama,34215,536,19893,13206,166,0.015665644,0.581411662,0.385971065,0.004851673,0.178927371,0.215344147,Columbus Metropolitan Airport,61.537584
9,19,"Cherokee County, Alabama",1,1215,11278,18734,25575,4918,36296,21811,383,105100,1,19,5346,18734,5156,10668,2578,0.076630838,0.192297165,0.569445927,0.137610761,0.868327402,0,0.868327402,0,0.605479452,0,0.460227273,0,0.662921348,0,9,0.029666397,0.043999387,0.042924853,0.041072732,0.032042012,34.069515,85.654242,0.693056575,0,0.037941076,59.1,73.2,44.9,4.27,,77.9,89.6,66.1,4.41,,41.5,52.7,30.3,4.67,,42.9,55.3,30.5,5.26,,39.3,50.7,27.9,5.21,,78.6,90.3,66.8,4.74,,75,87.1,62.8,4.34,,51.1,64.7,37.5,5.26,,67,80.4,53.6,4.34,,50.7,63.6,37.7,4.48,,60.5,73.9,47.1,3.39,,71.8,84.1,59.4,3.73,,41.23333333,77.16666667,59.61666667,SOUTHEAST,Alabama,25989,320,23929,1206,49,0.012312902,0.920735696,0.046404248,0.001885413,0.198391627,0.205702413,Anniston Metropolitan Airport,56.62417274
